Worker 0 | start idle | idle | 1719877660.8304932
Worker 0 | finish idle | idle | 1719877666.3048804
Worker 0 | start step | instantiate | 1719877666.304895
Worker 0 | finish step | instantiate | 1719877666.3180382
Worker 0 | start idle | idle | 1719877666.3185608
Worker 0 | finish idle | idle | 1719877667.8972764
Worker 0 | start step | instantiate | 1719877667.8972893
Worker 0 | finish step | instantiate | 1719877667.9148147
Worker 0 | start idle | idle | 1719877667.9153078
Worker 0 | finish idle | idle | 1719877668.4523928
Worker 0 | start step | instantiate | 1719877668.4524004
Worker 0 | finish step | instantiate | 1719877668.4677913
Worker 0 | start idle | idle | 1719877668.4686377
Worker 0 | finish idle | idle | 1719877668.6555583
Worker 0 | start step | instantiate | 1719877668.655573
Worker 0 | finish step | instantiate | 1719877668.7145736
Worker 0 | start idle | idle | 1719877668.7151227
Worker 0 | finish idle | idle | 1719877669.4320517
Worker 0 | start step | instantiate | 1719877669.4320586
Worker 0 | finish step | instantiate | 1719877669.5831342
Worker 0 | start idle | idle | 1719877669.58424
Worker 0 | finish idle | idle | 1719877670.4679866
Worker 0 | start step | instantiate | 1719877670.4680061
Worker 0 | finish step | instantiate | 1719877670.4886851
Worker 0 | start idle | idle | 1719877670.4895837
Worker 0 | finish idle | idle | 1719877670.7762978
Worker 0 | start step | instantiate | 1719877670.7763119
Worker 0 | finish step | instantiate | 1719877670.8226664
Worker 0 | start idle | idle | 1719877670.8240812
Worker 1 | start idle | idle | 1719877660.8331447
Worker 1 | finish idle | idle | 1719877667.5847259
Worker 1 | start step | instantiate | 1719877667.5847454
Worker 1 | finish step | instantiate | 1719877667.6279356
Worker 1 | start idle | idle | 1719877667.6292782
Worker 1 | finish idle | idle | 1719877668.7462614
Worker 1 | start step | instantiate | 1719877668.7462773
Worker 1 | finish step | instantiate | 1719877668.797269
Worker 1 | start idle | idle | 1719877668.7982278
Worker 1 | finish idle | idle | 1719877668.8699152
Worker 1 | start step | instantiate | 1719877668.869989
Worker 1 | finish step | instantiate | 1719877669.0041492
Worker 1 | start idle | idle | 1719877669.005022
Worker 1 | finish idle | idle | 1719877669.8828146
Worker 1 | start step | instantiate | 1719877669.8828444
Worker 1 | finish step | instantiate | 1719877669.8961737
Worker 1 | start idle | idle | 1719877669.8973572
Worker 1 | finish idle | idle | 1719877670.5921798
Worker 1 | start step | instantiate | 1719877670.5921876
Worker 1 | finish step | instantiate | 1719877670.6046302
Worker 1 | start idle | idle | 1719877670.6051843
Worker 1 | finish idle | idle | 1719877671.1316526
Worker 1 | start step | instantiate | 1719877671.1316566
Worker 1 | finish step | instantiate | 1719877671.1689072
Worker 1 | start idle | idle | 1719877671.1695726
Worker 2 | start idle | idle | 1719877660.832926
Worker 2 | finish idle | idle | 1719877666.3785596
Worker 2 | start step | instantiate | 1719877666.3785706
Worker 2 | finish step | instantiate | 1719877666.393287
Worker 2 | start idle | idle | 1719877666.3939888
Worker 2 | finish idle | idle | 1719877668.2100906
Worker 2 | start step | instantiate | 1719877668.2100968
Worker 2 | finish step | instantiate | 1719877668.2141845
Worker 2 | start idle | idle | 1719877668.2146273
Worker 2 | finish idle | idle | 1719877669.1035128
Worker 2 | start step | instantiate | 1719877669.1035216
Worker 2 | finish step | instantiate | 1719877669.111573
Worker 2 | start idle | idle | 1719877669.1119857
Worker 2 | finish idle | idle | 1719877669.1410222
Worker 2 | start step | instantiate | 1719877669.1410255
Worker 2 | finish step | instantiate | 1719877669.161265
Worker 2 | start idle | idle | 1719877669.1617482
Worker 2 | finish idle | idle | 1719877669.3936121
Worker 2 | start step | instantiate | 1719877669.3936234
Worker 2 | finish step | instantiate | 1719877669.5442169
Worker 2 | start idle | idle | 1719877669.5447812
Worker 2 | finish idle | idle | 1719877669.8319323
Worker 2 | start step | instantiate | 1719877669.8319378
Worker 2 | finish step | instantiate | 1719877669.8445008
Worker 2 | start idle | idle | 1719877669.8450363
Worker 2 | finish idle | idle | 1719877669.8571024
Worker 2 | start step | instantiate | 1719877669.8571055
Worker 2 | finish step | instantiate | 1719877669.871215
Worker 2 | start idle | idle | 1719877669.8717504
Worker 2 | finish idle | idle | 1719877669.9152033
Worker 2 | start step | instantiate | 1719877669.9152083
Worker 2 | finish step | instantiate | 1719877669.926167
Worker 2 | start idle | idle | 1719877669.9267988
Worker 2 | finish idle | idle | 1719877670.2171552
Worker 2 | start step | instantiate | 1719877670.2171626
Worker 2 | finish step | instantiate | 1719877670.4001775
Worker 2 | start idle | idle | 1719877670.4008708
Worker 2 | finish idle | idle | 1719877670.9536083
Worker 2 | start step | instantiate | 1719877670.9536278
Worker 2 | finish step | instantiate | 1719877670.9760451
Worker 2 | start idle | idle | 1719877670.976886
Worker 3 | start idle | idle | 1719877660.833915
Worker 3 | finish idle | idle | 1719877662.8647523
Worker 3 | start step | run | 1719877662.8647656
Worker 3 | finish step | run | 1719877662.9529066
Worker 3 | start idle | idle | 1719877662.9529727
Worker 3 | finish idle | idle | 1719877667.9300573
Worker 3 | start step | instantiate | 1719877667.9300637
Worker 3 | finish step | instantiate | 1719877667.969542
Worker 3 | start idle | idle | 1719877667.9701917
Worker 3 | finish idle | idle | 1719877668.693786
Worker 3 | start step | instantiate | 1719877668.6937943
Worker 3 | finish step | instantiate | 1719877668.7049692
Worker 3 | start idle | idle | 1719877668.7056115
Worker 3 | finish idle | idle | 1719877669.4443088
Worker 3 | start step | instantiate | 1719877669.4443223
Worker 3 | finish step | instantiate | 1719877669.4548607
Worker 3 | start idle | idle | 1719877669.455587
Worker 3 | finish idle | idle | 1719877671.9976592
Worker 3 | start step | run | 1719877671.9976778
Worker 3 | finish step | run | 1719877672.0589602
Worker 3 | start idle | idle | 1719877672.062453
Worker 4 | start idle | idle | 1719877660.8354454
Worker 4 | finish idle | idle | 1719877665.2009442
Worker 4 | start step | _sub_do_work | 1719877665.2009542
Worker 4 | finish step | _sub_do_work | 1719877665.2151482
Worker 4 | start idle | idle | 1719877665.2152452
Worker 4 | finish idle | idle | 1719877668.1739788
Worker 4 | start step | instantiate | 1719877668.1740043
Worker 4 | finish step | instantiate | 1719877668.1892645
Worker 4 | start idle | idle | 1719877668.1902862
Worker 4 | finish idle | idle | 1719877668.7241902
Worker 4 | start step | _sub_do_work | 1719877668.7241983
Worker 4 | finish step | _sub_do_work | 1719877668.7331192
Worker 4 | start idle | idle | 1719877668.7332003
Worker 4 | finish idle | idle | 1719877668.9047818
Worker 4 | start step | _sub_do_work | 1719877668.9047937
Worker 4 | finish step | _sub_do_work | 1719877668.913772
Worker 4 | start idle | idle | 1719877668.9138246
Worker 4 | finish idle | idle | 1719877668.9901004
Worker 4 | start step | instantiate | 1719877668.990118
Worker 4 | finish step | instantiate | 1719877669.1250231
Worker 4 | start step | _sub_do_work | 1719877669.1261687
Worker 4 | finish step | _sub_do_work | 1719877669.1369095
Worker 4 | start idle | idle | 1719877669.1370173
Worker 4 | finish idle | idle | 1719877669.2078457
Worker 4 | start step | _sub_do_work | 1719877669.2078521
Worker 4 | finish step | _sub_do_work | 1719877669.217076
Worker 4 | start idle | idle | 1719877669.2171438
Worker 4 | finish idle | idle | 1719877669.3261187
Worker 4 | start step | _sub_do_work | 1719877669.326129
Worker 4 | finish step | _sub_do_work | 1719877669.3370914
Worker 4 | start idle | idle | 1719877669.337161
Worker 4 | finish idle | idle | 1719877669.3999603
Worker 4 | start step | instantiate | 1719877669.3999732
Worker 4 | finish step | instantiate | 1719877669.4340408
Worker 4 | start idle | idle | 1719877669.434622
Worker 4 | finish idle | idle | 1719877669.5354054
Worker 4 | start step | _sub_do_work | 1719877669.5354176
Worker 4 | finish step | _sub_do_work | 1719877669.5455704
Worker 4 | start idle | idle | 1719877669.5456715
Worker 4 | finish idle | idle | 1719877669.6999495
Worker 4 | start step | _sub_do_work | 1719877669.6999855
Worker 4 | finish step | _sub_do_work | 1719877669.7092426
Worker 4 | start idle | idle | 1719877669.7093189
Worker 4 | finish idle | idle | 1719877669.8479908
Worker 4 | start step | _sub_do_work | 1719877669.848016
Worker 4 | finish step | _sub_do_work | 1719877669.8654523
Worker 4 | start idle | idle | 1719877669.8655977
Worker 4 | finish idle | idle | 1719877669.9333708
Worker 4 | start step | instantiate | 1719877669.9333882
Worker 4 | finish step | instantiate | 1719877670.1123636
Worker 4 | start step | _sub_do_work | 1719877670.1129096
Worker 4 | finish step | _sub_do_work | 1719877670.120248
Worker 4 | start idle | idle | 1719877670.1203074
Worker 4 | finish idle | idle | 1719877670.2345006
Worker 4 | start step | _sub_do_work | 1719877670.2345173
Worker 4 | finish step | _sub_do_work | 1719877670.247037
Worker 4 | start idle | idle | 1719877670.2471614
Worker 4 | finish idle | idle | 1719877670.3568459
Worker 4 | start step | _sub_do_work | 1719877670.3568623
Worker 4 | finish step | _sub_do_work | 1719877670.3763275
Worker 4 | start idle | idle | 1719877670.3774838
Worker 4 | finish idle | idle | 1719877670.3775697
Worker 4 | start step | instantiate | 1719877670.3775716
Worker 4 | finish step | instantiate | 1719877670.3862655
Worker 4 | start idle | idle | 1719877670.3867993
Worker 4 | finish idle | idle | 1719877670.452093
Worker 4 | start step | _sub_do_work | 1719877670.4521072
Worker 4 | finish step | _sub_do_work | 1719877670.4639032
Worker 4 | start idle | idle | 1719877670.4639716
Worker 4 | finish idle | idle | 1719877670.5430095
Worker 4 | start step | _sub_do_work | 1719877670.5430322
Worker 4 | finish step | _sub_do_work | 1719877670.5549757
Worker 4 | start idle | idle | 1719877670.5550625
Worker 4 | finish idle | idle | 1719877670.644075
Worker 4 | start step | _sub_do_work | 1719877670.6440802
Worker 4 | finish step | _sub_do_work | 1719877670.654409
Worker 4 | start idle | idle | 1719877670.6544912
Worker 4 | finish idle | idle | 1719877670.7358572
Worker 4 | start step | _sub_do_work | 1719877670.7358649
Worker 4 | finish step | _sub_do_work | 1719877670.7479126
Worker 4 | start idle | idle | 1719877670.7480037
Worker 4 | finish idle | idle | 1719877670.9358928
Worker 4 | start step | _sub_do_work | 1719877670.9359035
Worker 4 | finish step | _sub_do_work | 1719877670.9496942
Worker 4 | start idle | idle | 1719877670.9497511
Worker 4 | finish idle | idle | 1719877670.9532723
Worker 4 | start step | instantiate | 1719877670.9532764
Worker 4 | finish step | instantiate | 1719877671.001701
Worker 4 | start step | _sub_do_work | 1719877671.0017943
Worker 4 | finish step | _sub_do_work | 1719877671.0103524
Worker 4 | start idle | idle | 1719877671.0103893
Worker 4 | finish idle | idle | 1719877671.1164865
Worker 4 | start step | _sub_do_work | 1719877671.1164923
Worker 4 | finish step | _sub_do_work | 1719877671.1264284
Worker 4 | start idle | idle | 1719877671.1264892
Worker 4 | finish idle | idle | 1719877671.2276258
Worker 4 | start step | _sub_do_work | 1719877671.2276294
Worker 4 | finish step | _sub_do_work | 1719877671.238607
Worker 4 | start idle | idle | 1719877671.238659
Worker 4 | finish idle | idle | 1719877671.3085797
Worker 4 | start step | _sub_do_work | 1719877671.3085837
Worker 4 | finish step | _sub_do_work | 1719877671.321937
Worker 4 | start idle | idle | 1719877671.3219905
Worker 4 | finish idle | idle | 1719877671.40105
Worker 4 | start step | _sub_do_work | 1719877671.4010534
Worker 4 | finish step | _sub_do_work | 1719877671.405169
Worker 4 | start idle | idle | 1719877671.4056747
Worker 4 | finish idle | idle | 1719877671.900864
Worker 4 | start step | instantiate | 1719877671.9008698
Worker 4 | finish step | instantiate | 1719877671.9360802
Worker 4 | start idle | idle | 1719877671.937518
Worker 5 | start idle | idle | 1719877660.837866
Worker 5 | finish idle | idle | 1719877666.3541405
Worker 5 | start step | instantiate | 1719877666.3541522
Worker 5 | finish step | instantiate | 1719877666.3779852
Worker 5 | start idle | idle | 1719877666.378555
Worker 5 | finish idle | idle | 1719877669.2020135
Worker 5 | start step | instantiate | 1719877669.2020283
Worker 5 | finish step | instantiate | 1719877669.3445246
Worker 5 | start idle | idle | 1719877669.3453689
Worker 5 | finish idle | idle | 1719877670.9199374
Worker 5 | start step | instantiate | 1719877670.9199445
Worker 5 | finish step | instantiate | 1719877670.9399514
Worker 5 | start idle | idle | 1719877670.9404316
Worker 5 | finish idle | idle | 1719877671.3263674
Worker 5 | start step | instantiate | 1719877671.3263733
Worker 5 | finish step | instantiate | 1719877671.3501074
Worker 5 | start idle | idle | 1719877671.3506286
Worker 6 | start idle | idle | 1719877660.8378882
Worker 6 | finish idle | idle | 1719877666.3175511
Worker 6 | start step | instantiate | 1719877666.3175595
Worker 6 | finish step | instantiate | 1719877666.3477135
Worker 6 | start idle | idle | 1719877666.3482764
Worker 6 | finish idle | idle | 1719877668.530835
Worker 6 | start step | instantiate | 1719877668.5308483
Worker 6 | finish step | instantiate | 1719877668.5416
Worker 6 | start idle | idle | 1719877668.542326
Worker 6 | finish idle | idle | 1719877668.6916444
Worker 6 | start step | instantiate | 1719877668.6916566
Worker 6 | finish step | instantiate | 1719877668.7048168
Worker 6 | start idle | idle | 1719877668.7052643
Worker 6 | finish idle | idle | 1719877668.8735063
Worker 6 | start step | instantiate | 1719877668.8735263
Worker 6 | finish step | instantiate | 1719877669.1067624
Worker 6 | start idle | idle | 1719877669.1072912
Worker 6 | finish idle | idle | 1719877669.8981576
Worker 6 | start step | instantiate | 1719877669.89817
Worker 6 | finish step | instantiate | 1719877670.0955412
Worker 6 | start idle | idle | 1719877670.0963962
Worker 6 | finish idle | idle | 1719877670.4686086
Worker 6 | start step | instantiate | 1719877670.4686272
Worker 6 | finish step | instantiate | 1719877670.5385537
Worker 6 | start idle | idle | 1719877670.5396388
Worker 7 | start idle | idle | 1719877660.8417683
Worker 7 | finish idle | idle | 1719877664.744622
Worker 7 | start step | _sub_do_work | 1719877664.7446456
Worker 7 | finish step | _sub_do_work | 1719877664.764197
Worker 7 | start idle | idle | 1719877664.7642863
Worker 7 | finish idle | idle | 1719877666.3799427
Worker 7 | start step | _sub_do_work | 1719877666.3799508
Worker 7 | finish step | _sub_do_work | 1719877666.3874536
Worker 7 | start idle | idle | 1719877666.387519
Worker 7 | finish idle | idle | 1719877668.6950688
Worker 7 | start step | _sub_do_work | 1719877668.6950772
Worker 7 | finish step | _sub_do_work | 1719877668.6970434
Worker 7 | start idle | idle | 1719877668.6977303
Worker 7 | finish idle | idle | 1719877668.756493
Worker 7 | start step | instantiate | 1719877668.756503
Worker 7 | finish step | instantiate | 1719877668.8722575
Worker 7 | start idle | idle | 1719877668.8728178
Worker 7 | finish idle | idle | 1719877669.145501
Worker 7 | start step | instantiate | 1719877669.145519
Worker 7 | finish step | instantiate | 1719877669.1926978
Worker 7 | start idle | idle | 1719877669.1933968
Worker 7 | finish idle | idle | 1719877669.531976
Worker 7 | start step | instantiate | 1719877669.5319893
Worker 7 | finish step | instantiate | 1719877669.5441737
Worker 7 | start idle | idle | 1719877669.544752
Worker 7 | finish idle | idle | 1719877670.3811533
Worker 7 | start step | instantiate | 1719877670.3811586
Worker 7 | finish step | instantiate | 1719877670.4013333
Worker 7 | start idle | idle | 1719877670.401917
Worker 7 | finish idle | idle | 1719877670.5922668
Worker 7 | start step | instantiate | 1719877670.592272
Worker 7 | finish step | instantiate | 1719877670.7029724
Worker 7 | start idle | idle | 1719877670.703552
Worker 7 | finish idle | idle | 1719877671.1756978
Worker 7 | start step | instantiate | 1719877671.1757033
Worker 7 | finish step | instantiate | 1719877671.1870103
Worker 7 | start idle | idle | 1719877671.1875577
Worker 8 | start idle | idle | 1719877660.8410535
Worker 8 | finish idle | idle | 1719877667.4687235
Worker 8 | start step | instantiate | 1719877667.4688008
Worker 8 | finish step | instantiate | 1719877667.4888263
Worker 8 | start idle | idle | 1719877667.4897182
Worker 8 | finish idle | idle | 1719877669.1581883
Worker 8 | start step | instantiate | 1719877669.158204
Worker 8 | finish step | instantiate | 1719877669.1662843
Worker 8 | start idle | idle | 1719877669.167013
Worker 8 | finish idle | idle | 1719877669.3704941
Worker 8 | start step | instantiate | 1719877669.3705149
Worker 8 | finish step | instantiate | 1719877669.3828845
Worker 8 | start idle | idle | 1719877669.3835394
Worker 8 | finish idle | idle | 1719877669.6108558
Worker 8 | start step | instantiate | 1719877669.610867
Worker 8 | finish step | instantiate | 1719877669.61691
Worker 8 | start idle | idle | 1719877669.617408
Worker 8 | finish idle | idle | 1719877670.1184816
Worker 8 | start step | instantiate | 1719877670.1185
Worker 8 | finish step | instantiate | 1719877670.1455586
Worker 8 | start idle | idle | 1719877670.146244
Worker 8 | finish idle | idle | 1719877670.6591794
Worker 8 | start step | instantiate | 1719877670.6591985
Worker 8 | finish step | instantiate | 1719877670.6899579
Worker 8 | start idle | idle | 1719877670.690809
Worker 8 | finish idle | idle | 1719877670.7867303
Worker 8 | start step | instantiate | 1719877670.7867472
Worker 8 | finish step | instantiate | 1719877670.830253
Worker 8 | start idle | idle | 1719877670.8310208
Worker 8 | finish idle | idle | 1719877671.1701581
Worker 8 | start step | instantiate | 1719877671.170184
Worker 8 | finish step | instantiate | 1719877671.2026343
Worker 8 | start idle | idle | 1719877671.203329
Worker 9 | start idle | idle | 1719877660.8424
Worker 9 | finish idle | idle | 1719877667.6219807
Worker 9 | start step | instantiate | 1719877667.6219954
Worker 9 | finish step | instantiate | 1719877667.6409168
Worker 9 | start idle | idle | 1719877667.6413352
Worker 9 | finish idle | idle | 1719877668.4707193
Worker 9 | start step | instantiate | 1719877668.4707267
Worker 9 | finish step | instantiate | 1719877668.4774578
Worker 9 | start idle | idle | 1719877668.4780073
Worker 9 | finish idle | idle | 1719877668.5312827
Worker 9 | start step | instantiate | 1719877668.5312877
Worker 9 | finish step | instantiate | 1719877668.5400808
Worker 9 | start idle | idle | 1719877668.540441
Worker 9 | finish idle | idle | 1719877669.3665793
Worker 9 | start step | instantiate | 1719877669.3665864
Worker 9 | finish step | instantiate | 1719877669.3867757
Worker 9 | start idle | idle | 1719877669.3872795
Worker 9 | finish idle | idle | 1719877669.6111386
Worker 9 | start step | instantiate | 1719877669.611143
Worker 9 | finish step | instantiate | 1719877669.7634356
Worker 9 | start idle | idle | 1719877669.7641106
Worker 9 | finish idle | idle | 1719877670.3819551
Worker 9 | start step | instantiate | 1719877670.381963
Worker 9 | finish step | instantiate | 1719877670.3939147
Worker 9 | start idle | idle | 1719877670.394574
Worker 9 | finish idle | idle | 1719877670.5148718
Worker 9 | start step | instantiate | 1719877670.5148787
Worker 9 | finish step | instantiate | 1719877670.5404923
Worker 9 | start idle | idle | 1719877670.541086
Worker 9 | finish idle | idle | 1719877670.8468168
Worker 9 | start step | instantiate | 1719877670.8468251
Worker 9 | finish step | instantiate | 1719877670.8600852
Worker 9 | start idle | idle | 1719877670.860727
Worker 10 | start idle | idle | 1719877660.844298
Worker 10 | finish idle | idle | 1719877669.119721
Worker 10 | start step | instantiate | 1719877669.119736
Worker 10 | finish step | instantiate | 1719877669.1401572
Worker 10 | start idle | idle | 1719877669.1412306
Worker 10 | finish idle | idle | 1719877669.2935035
Worker 10 | start step | instantiate | 1719877669.2935176
Worker 10 | finish step | instantiate | 1719877669.3014574
Worker 10 | start idle | idle | 1719877669.3020892
Worker 10 | finish idle | idle | 1719877669.3669918
Worker 10 | start step | instantiate | 1719877669.3670278
Worker 10 | finish step | instantiate | 1719877669.4344428
Worker 10 | start idle | idle | 1719877669.4355354
Worker 10 | finish idle | idle | 1719877669.6085768
Worker 10 | start step | instantiate | 1719877669.6085851
Worker 10 | finish step | instantiate | 1719877669.619755
Worker 10 | start idle | idle | 1719877669.6202571
Worker 10 | finish idle | idle | 1719877669.67849
Worker 10 | start step | instantiate | 1719877669.67852
Worker 10 | finish step | instantiate | 1719877669.69923
Worker 10 | start idle | idle | 1719877669.7002273
Worker 10 | finish idle | idle | 1719877669.8595996
Worker 10 | start step | instantiate | 1719877669.8596306
Worker 10 | finish step | instantiate | 1719877669.8805962
Worker 10 | start idle | idle | 1719877669.8813114
Worker 10 | finish idle | idle | 1719877670.3623512
Worker 10 | start step | instantiate | 1719877670.3623674
Worker 10 | finish step | instantiate | 1719877670.3742259
Worker 10 | start idle | idle | 1719877670.3756812
