Worker 0 | start step | instantiate | 1719877819.013446
Worker 0 | finish step | instantiate | 1719877819.0292275
Worker 0 | start idle | idle | 1719877819.0309331
Worker 0 | finish idle | idle | 1719877819.0309916
Worker 0 | start step | _sub_do_work | 1719877819.0309956
Worker 0 | finish step | _sub_do_work | 1719877819.0457973
Worker 0 | start idle | idle | 1719877819.047525
Worker 0 | finish idle | idle | 1719877819.051594
Worker 0 | start step | instantiate | 1719877819.0516007
Worker 0 | finish step | instantiate | 1719877819.2333386
Worker 0 | start step | _sub_do_work | 1719877819.2337127
Worker 0 | finish step | _sub_do_work | 1719877819.2371285
Worker 0 | start idle | idle | 1719877819.2379408
Worker 0 | finish idle | idle | 1719877819.2847636
Worker 0 | start step | instantiate | 1719877819.284782
Worker 0 | finish step | instantiate | 1719877819.2980633
Worker 0 | start step | _sub_do_work | 1719877819.29918
Worker 0 | finish step | _sub_do_work | 1719877819.3067834
Worker 0 | start idle | idle | 1719877819.3068407
Worker 0 | finish idle | idle | 1719877819.3134062
Worker 0 | start step | instantiate | 1719877819.3134103
Worker 0 | finish step | instantiate | 1719877819.3331869
Worker 0 | start idle | idle | 1719877819.3333752
Worker 0 | finish idle | idle | 1719877819.4597013
Worker 0 | start step | instantiate | 1719877819.4597077
Worker 0 | finish step | instantiate | 1719877819.4871426
Worker 0 | start idle | idle | 1719877819.4882314
Worker 0 | finish idle | idle | 1719877819.5085676
Worker 0 | start step | _sub_do_work | 1719877819.5085716
Worker 0 | finish step | _sub_do_work | 1719877819.5186472
Worker 0 | start idle | idle | 1719877819.518702
Worker 0 | finish idle | idle | 1719877819.6255376
Worker 0 | start step | instantiate | 1719877819.6255448
Worker 0 | finish step | instantiate | 1719877819.749091
Worker 0 | start step | _sub_do_work | 1719877819.7497137
Worker 0 | finish step | _sub_do_work | 1719877819.761405
Worker 0 | start idle | idle | 1719877819.761456
Worker 0 | finish idle | idle | 1719877819.770924
Worker 0 | start step | instantiate | 1719877819.7709274
Worker 0 | finish step | instantiate | 1719877819.8821378
Worker 0 | start step | _sub_do_work | 1719877819.8827255
Worker 0 | finish step | _sub_do_work | 1719877819.8921869
Worker 0 | start idle | idle | 1719877819.892241
Worker 0 | finish idle | idle | 1719877819.968548
Worker 0 | start step | instantiate | 1719877819.9685652
Worker 0 | finish step | instantiate | 1719877819.997017
Worker 0 | start idle | idle | 1719877819.9990904
Worker 0 | finish idle | idle | 1719877819.9991083
Worker 0 | start step | _sub_do_work | 1719877819.9991105
Worker 0 | finish step | _sub_do_work | 1719877820.0080824
Worker 0 | start idle | idle | 1719877820.0081365
Worker 0 | finish idle | idle | 1719877820.107871
Worker 0 | start step | instantiate | 1719877820.107877
Worker 0 | finish step | instantiate | 1719877820.3572328
Worker 0 | start step | _sub_do_work | 1719877820.3580363
Worker 0 | finish step | _sub_do_work | 1719877820.3690841
Worker 0 | start idle | idle | 1719877820.3691766
Worker 0 | finish idle | idle | 1719877820.433946
Worker 0 | start step | _sub_do_work | 1719877820.4339633
Worker 0 | finish step | _sub_do_work | 1719877820.4501007
Worker 0 | start idle | idle | 1719877820.4502208
Worker 0 | finish idle | idle | 1719877820.4914174
Worker 0 | start step | _sub_do_work | 1719877820.4914277
Worker 0 | finish step | _sub_do_work | 1719877820.50383
Worker 0 | start idle | idle | 1719877820.5038836
Worker 0 | finish idle | idle | 1719877820.5070322
Worker 0 | start step | instantiate | 1719877820.5070367
Worker 0 | finish step | instantiate | 1719877820.5304534
Worker 0 | start idle | idle | 1719877820.530599
Worker 0 | finish idle | idle | 1719877820.560266
Worker 0 | start step | _sub_do_work | 1719877820.5602741
Worker 0 | finish step | _sub_do_work | 1719877820.57084
Worker 0 | start idle | idle | 1719877820.5709178
Worker 0 | finish idle | idle | 1719877820.6443996
Worker 0 | start step | _sub_do_work | 1719877820.6444108
Worker 0 | finish step | _sub_do_work | 1719877820.6558642
Worker 0 | start idle | idle | 1719877820.655936
Worker 0 | finish idle | idle | 1719877820.6593692
Worker 0 | start step | instantiate | 1719877820.6593719
Worker 0 | finish step | instantiate | 1719877820.670242
Worker 0 | start idle | idle | 1719877820.6706471
Worker 0 | finish idle | idle | 1719877820.7122047
Worker 0 | start step | _sub_do_work | 1719877820.7122087
Worker 0 | finish step | _sub_do_work | 1719877820.7244878
Worker 0 | start idle | idle | 1719877820.724537
Worker 0 | finish idle | idle | 1719877820.771654
Worker 0 | start step | instantiate | 1719877820.7716672
Worker 0 | finish step | instantiate | 1719877820.7909372
Worker 0 | start idle | idle | 1719877820.7924588
Worker 0 | finish idle | idle | 1719877820.8170683
Worker 0 | start step | _sub_do_work | 1719877820.8170714
Worker 0 | finish step | _sub_do_work | 1719877820.8300416
Worker 0 | start idle | idle | 1719877820.8301108
Worker 0 | finish idle | idle | 1719877820.904785
Worker 0 | start step | _sub_do_work | 1719877820.9047925
Worker 0 | finish step | _sub_do_work | 1719877820.9164562
Worker 0 | start idle | idle | 1719877820.9165068
Worker 0 | finish idle | idle | 1719877821.021063
Worker 0 | start step | _sub_do_work | 1719877821.0210755
Worker 0 | finish step | _sub_do_work | 1719877821.0383754
Worker 0 | start idle | idle | 1719877821.0384998
Worker 0 | finish idle | idle | 1719877821.0425975
Worker 0 | start step | instantiate | 1719877821.0426023
Worker 0 | finish step | instantiate | 1719877821.0948005
Worker 0 | start step | _sub_do_work | 1719877821.0952215
Worker 0 | finish step | _sub_do_work | 1719877821.1068578
Worker 0 | start idle | idle | 1719877821.1069562
Worker 0 | finish idle | idle | 1719877821.2523332
Worker 0 | start step | _sub_do_work | 1719877821.2523422
Worker 0 | finish step | _sub_do_work | 1719877821.2558417
Worker 0 | start idle | idle | 1719877821.256461
Worker 1 | start idle | idle | 1719877814.074396
Worker 1 | finish idle | idle | 1719877817.4172435
Worker 1 | start step | _sub_do_work | 1719877817.4172523
Worker 1 | finish step | _sub_do_work | 1719877817.4304113
Worker 1 | start step | instantiate | 1719877817.4304638
Worker 1 | finish step | instantiate | 1719877817.4393036
Worker 1 | start step | instantiate | 1719877817.4397264
Worker 1 | finish step | instantiate | 1719877817.4457455
Worker 1 | start step | _sub_do_work | 1719877817.4460404
Worker 1 | finish step | _sub_do_work | 1719877817.4536803
Worker 1 | start idle | idle | 1719877817.4544249
Worker 1 | finish idle | idle | 1719877817.4545395
Worker 1 | start step | instantiate | 1719877817.4545426
Worker 1 | finish step | instantiate | 1719877817.457905
Worker 1 | start step | instantiate | 1719877817.4584188
Worker 1 | finish step | instantiate | 1719877817.4639695
Worker 1 | start step | _sub_do_work | 1719877817.4642558
Worker 1 | finish step | _sub_do_work | 1719877817.4788597
Worker 1 | start step | instantiate | 1719877817.4789598
Worker 1 | finish step | instantiate | 1719877817.588339
Worker 1 | start step | _sub_do_work | 1719877817.5888247
Worker 1 | finish step | _sub_do_work | 1719877817.5972886
Worker 1 | start step | instantiate | 1719877817.5973232
Worker 1 | finish step | instantiate | 1719877817.6549745
Worker 1 | start step | _sub_do_work | 1719877817.6555774
Worker 1 | finish step | _sub_do_work | 1719877817.6689224
Worker 1 | start step | _sub_do_work | 1719877817.6689692
Worker 1 | finish step | _sub_do_work | 1719877817.6702404
Worker 1 | start step | instantiate | 1719877817.6706207
Worker 1 | finish step | instantiate | 1719877817.6750631
Worker 1 | start idle | idle | 1719877817.675357
Worker 1 | finish idle | idle | 1719877817.699595
Worker 1 | start step | instantiate | 1719877817.6996043
Worker 1 | finish step | instantiate | 1719877817.7144556
Worker 1 | start idle | idle | 1719877817.7149808
Worker 1 | finish idle | idle | 1719877817.7549567
Worker 1 | start step | instantiate | 1719877817.754967
Worker 1 | finish step | instantiate | 1719877817.767952
Worker 1 | start step | instantiate | 1719877817.7685692
Worker 1 | finish step | instantiate | 1719877817.786299
Worker 1 | start step | instantiate | 1719877817.786857
Worker 1 | finish step | instantiate | 1719877817.9221013
Worker 1 | start step | _sub_do_work | 1719877817.9232252
Worker 1 | finish step | _sub_do_work | 1719877817.9317708
Worker 1 | start step | instantiate | 1719877817.9318354
Worker 1 | finish step | instantiate | 1719877817.940142
Worker 1 | start idle | idle | 1719877817.9406624
Worker 1 | finish idle | idle | 1719877817.9572124
Worker 1 | start step | instantiate | 1719877817.9572237
Worker 1 | finish step | instantiate | 1719877817.9787412
Worker 1 | start step | instantiate | 1719877817.9796185
Worker 1 | finish step | instantiate | 1719877817.9855933
Worker 1 | start idle | idle | 1719877817.9861255
Worker 1 | finish idle | idle | 1719877818.0015888
Worker 1 | start step | instantiate | 1719877818.001596
Worker 1 | finish step | instantiate | 1719877818.1205573
Worker 1 | start step | instantiate | 1719877818.1213684
Worker 1 | finish step | instantiate | 1719877818.2284017
Worker 1 | start step | _sub_do_work | 1719877818.2295578
Worker 1 | finish step | _sub_do_work | 1719877818.2390158
Worker 1 | start step | instantiate | 1719877818.239156
Worker 1 | finish step | instantiate | 1719877818.2731478
Worker 1 | start step | instantiate | 1719877818.273701
Worker 1 | finish step | instantiate | 1719877818.2853565
Worker 1 | start idle | idle | 1719877818.2857935
Worker 1 | finish idle | idle | 1719877818.343547
Worker 1 | start step | instantiate | 1719877818.3435552
Worker 1 | finish step | instantiate | 1719877818.353341
Worker 1 | start idle | idle | 1719877818.3570058
Worker 1 | finish idle | idle | 1719877818.3570952
Worker 1 | start step | instantiate | 1719877818.3570976
Worker 1 | finish step | instantiate | 1719877818.3686314
Worker 1 | start step | _sub_do_work | 1719877818.36955
Worker 1 | finish step | _sub_do_work | 1719877818.380554
Worker 1 | start step | instantiate | 1719877818.3806076
Worker 1 | finish step | instantiate | 1719877818.539979
Worker 1 | start step | instantiate | 1719877818.540652
Worker 1 | finish step | instantiate | 1719877818.5470202
Worker 1 | start step | instantiate | 1719877818.5476034
Worker 1 | finish step | instantiate | 1719877818.558961
Worker 1 | start idle | idle | 1719877818.5594456
Worker 1 | finish idle | idle | 1719877818.580123
Worker 1 | start step | instantiate | 1719877818.580134
Worker 1 | finish step | instantiate | 1719877818.7006338
Worker 1 | start step | _sub_do_work | 1719877818.70118
Worker 1 | finish step | _sub_do_work | 1719877818.7082703
Worker 1 | start step | instantiate | 1719877818.7082903
Worker 1 | finish step | instantiate | 1719877818.7907877
Worker 1 | start step | instantiate | 1719877818.7914011
Worker 1 | finish step | instantiate | 1719877818.802987
